CAS-5A;54684;145.925 ;435.600 ;;VHF/UHF FM bandwidth 30kHz;;active
CAS-5A;54684;145.975 ;435.650 ;;4k8 GMSK image*data;CAS5A;active
CAS-5A;54684;;;435.570 ;UHF_CW;BJ1SO;active
CAS-5A;54684;21.400 ;29.490 ;;HF/HF SSB bandwidth 30kHz;;unknown
CAS-5A;54684;21.435 ;435.505 ;;HF/UHF SSB bandwidth 30kHz;;unknown
CAS-5A;54684;;;29.465 ;HF_CW;;unknown
CAS-5B;;;;435.720 ;UHF_CW;;to be launched
CAS-6;44881;435.270-435.290;145.935-145.915;;SSB;;active
CAS-6;44881;;145.890 ;;4800bps GMSK;BJ1SO;active
CAS-6;44881;;;145.910 ;CW;BJ1SO;active
CAS-7A;;21.245-21.275;29.465-29.435;;HF/HF SSB;;to be launched
CAS-7A;;;;29.425 ;HF CW;;to be launched
CAS-7A;;21.3125-21.3275;435.3725-435.3575;;HF/UHF SSB;;to be launched
CAS-7A;;;;435.430 ;UHF CW;;to be launched
CAS-7A;;145.865-145.895;435.415-435.385;;VHF/UHF SSB;;to be launched
CAS-7A;;;435.480 ;;4k8 9k6 GMSK telemetry;;to be launched
CAS-7A;;;10460.000 ;;1 Mbps GMSK image data;;to be launched
CAS-7B;44443;145.900 ;435.690 ;;VHF/UHF FM;;re-entered
CAS-7B;44443;;;435.715 ;UHF CW;;re-entered
CAS-8A;;145.805-145.835;435.540-435.510;;VHF/UHF SSB;;to be launched
CAS-8A;;;;435.575 ;UHF CW;;to be launched
CAS-8A;;;435.735 ;;4K8 9K6 GMSK telemetry;;to be launched
CAS-8A;;;2405.100 ;;4K8 9K6 GMSK telemetry;;to be launched
CAS-8A;;;2405.100 ;;192kbps GMSK image data;;to be launched
CAS-8A;;;2405.300 ;;Inter-satellite link;;to be launched
CAS-8B;;145.840-145.870;435.625-435.595;;VHF/UHF SSB;;to be launched
CAS-8B;;;;435.580 ;UHF CW;;to be launched
CAS-8B;;;435.750 ;;4K8 9K6 GMSK telemetry;;to be launched
